Elementos: 0, Alocação: 0 
Elementos: 1, Alocação: 4 
Elementos: 2, Alocação: 4 
Elementos: 3, Alocação: 4 
Elementos: 4, Alocação: 4 
Elementos: 5, Alocação: 8 
Elementos: 6, Alocação: 8 
Elementos: 7, Alocação: 8 
Elementos: 8, Alocação: 8 
Elementos: 9, Alocação: 16 
Elementos: 10, Alocação: 16 
Elementos: 11, Alocação: 16 
Elementos: 12, Alocação: 16 
Elementos: 13, Alocação: 16 
Elementos: 14, Alocação: 16 
Elementos: 15, Alocação: 16 
Elementos: 16, Alocação: 16 
Elementos: 17, Alocação: 24 
Elementos: 18, Alocação: 24 
Elementos: 19, Alocação: 24 
Elementos: 20, Alocação: 24 
